2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Genome dimension: 25
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Output directory: C:\Users\HP\ACMGS\data\processed
2026-03-09 15:09:37 | INFO     | batch_genome         | ✓ Files created:
2026-03-09 15:09:37 | INFO     | batch_genome         |   - genome_vectors.npy
2026-03-09 15:09:37 | INFO     | batch_genome         |   - genome_normalization.npz
2026-03-09 15:09:37 | INFO     | batch_genome         |   - batch_ids.npy
2026-03-09 15:09:37 | INFO     | batch_genome         |   - genome_metadata.csv
2026-03-09 15:09:37 | INFO     | batch_genome         | Genome shape: (2000, 25)
2026-03-09 15:09:37 | INFO     | batch_genome         | Genome mean (first 5 dims): [ 8.50114423e-15 -2.16315854e-15 -6.57585097e-16 -1.64224190e-15
 -1.97408756e-15]
2026-03-09 15:09:37 | INFO     | batch_genome         | Genome std  (first 5 dims): [1. 1. 1. 1. 1.]
2026-03-09 15:09:49 | INFO     | prediction           | XGBoost available - will use for prediction models
2026-03-09 15:09:49 | INFO     | prediction           | ============================================================
2026-03-09 15:09:49 | INFO     | prediction           | PHASE 4: PREDICTION MODEL PIPELINE STARTING
2026-03-09 15:09:49 | INFO     | prediction           | ============================================================
2026-03-09 15:09:49 | INFO     | prediction           | Step 1/5: Loading data...
2026-03-09 15:09:49 | INFO     | prediction           | ✓ Loaded genome features: (2000, 25)
2026-03-09 15:09:49 | INFO     | prediction           | ✓ Loaded target values: (2000, 3)
2026-03-09 15:09:49 | INFO     | prediction           | ✓ Target columns: ['yield', 'quality', 'energy_consumption']
2026-03-09 15:09:49 | DEBUG    | prediction           |   Yield range: [0.516, 1.000]
2026-03-09 15:09:49 | DEBUG    | prediction           |   Quality range: [0.300, 0.932]
2026-03-09 15:09:49 | DEBUG    | prediction           |   Energy range: [171.8, 500.0]
2026-03-09 15:09:49 | INFO     | prediction           | Step 2/5: Splitting train/test sets...
2026-03-09 15:09:49 | INFO     | prediction           | ✓ Data split complete:
2026-03-09 15:09:49 | INFO     | prediction           |   Training set: 1600 samples (80%)
2026-03-09 15:09:49 | INFO     | prediction           |   Test set:     400 samples (20%)
2026-03-09 15:09:49 | INFO     | prediction           | Step 3/5: Creating and training model...
2026-03-09 15:09:49 | INFO     | prediction           | ✓ Created XGBoost multi-target predictor
2026-03-09 15:09:49 | INFO     | prediction           |   n_estimators: 200
2026-03-09 15:09:49 | INFO     | prediction           |   max_depth: 6
2026-03-09 15:09:49 | INFO     | prediction           | Training model...
2026-03-09 15:09:52 | INFO     | prediction           | ✓ Model training complete
2026-03-09 15:09:52 | INFO     | prediction           | Step 4/5: Evaluating model...
2026-03-09 15:09:52 | INFO     | prediction           | Evaluating model on test set...
2026-03-09 15:09:52 | INFO     | prediction           | ✓ yield:
2026-03-09 15:09:52 | INFO     | prediction           |     MAE:  0.0249
2026-03-09 15:09:52 | INFO     | prediction           |     RMSE: 0.0314
2026-03-09 15:09:52 | INFO     | prediction           |     R²:   0.9100
2026-03-09 15:09:52 | INFO     | prediction           |     MAPE: 3.11%
2026-03-09 15:09:52 | INFO     | prediction           | ✓ quality:
2026-03-09 15:09:52 | INFO     | prediction           |     MAE:  0.0331
2026-03-09 15:09:52 | INFO     | prediction           |     RMSE: 0.0435
2026-03-09 15:09:52 | INFO     | prediction           |     R²:   0.9204
2026-03-09 15:09:52 | INFO     | prediction           |     MAPE: 6.92%
2026-03-09 15:09:52 | INFO     | prediction           | ✓ energy_consumption:
2026-03-09 15:09:52 | INFO     | prediction           |     MAE:  11.4767
2026-03-09 15:09:52 | INFO     | prediction           |     RMSE: 15.8734
2026-03-09 15:09:52 | INFO     | prediction           |     R²:   0.9489
2026-03-09 15:09:52 | INFO     | prediction           |     MAPE: 2.87%
2026-03-09 15:09:52 | INFO     | prediction           | ✓ Overall R² Score: 0.9264
2026-03-09 15:09:52 | INFO     | prediction           | Step 5/5: Saving model and metrics...
2026-03-09 15:09:52 | INFO     | prediction           | ✓ Saved model → C:\Users\HP\ACMGS\models\saved\predictor.pkl
2026-03-09 15:09:52 | INFO     | prediction           | ✓ Saved metrics → C:\Users\HP\ACMGS\models\saved\predictor_metrics.pkl
2026-03-09 15:09:52 | INFO     | prediction           | ============================================================
2026-03-09 15:09:52 | INFO     | prediction           | ✓ PHASE 4: COMPLETE
2026-03-09 15:09:52 | INFO     | prediction           | ============================================================
2026-03-09 15:09:52 | INFO     | prediction           | ✓ Model trained on 1600 samples
2026-03-09 15:09:52 | INFO     | prediction           | ✓ Model tested on 400 samples
2026-03-09 15:09:52 | INFO     | prediction           | ✓ Overall R² Score: 0.9264
2026-03-09 15:09:52 | INFO     | prediction           | ✓ Model saved to: C:\Users\HP\ACMGS\models\saved
2026-03-09 15:09:52 | INFO     | prediction           | ==================================================
2026-03-09 15:09:52 | INFO     | prediction           | PREDICTION MODEL RESULTS:
2026-03-09 15:09:52 | INFO     | prediction           | Model type: XGBoost
2026-03-09 15:09:52 | INFO     | prediction           | Test samples: 400
2026-03-09 15:09:52 | INFO     | prediction           | YIELD — MAE: 0.0249 | RMSE: 0.0314 | R2: 0.9100
2026-03-09 15:09:52 | INFO     | prediction           | QUALITY — MAE: 0.0331 | RMSE: 0.0435 | R2: 0.9204
2026-03-09 15:09:52 | INFO     | prediction           | ENERGY_CONSUMPTION — MAE: 11.4767 | RMSE: 15.8734 | R2: 0.9489
2026-03-09 15:09:52 | INFO     | prediction           | Overall R2 Score: 0.9264
2026-03-09 15:09:52 | INFO     | prediction           | ==================================================
2026-03-09 15:11:18 | INFO     | prediction           | XGBoost available - will use for prediction models
2026-03-09 15:11:18 | INFO     | prediction           | ============================================================
2026-03-09 15:11:18 | INFO     | prediction           | PHASE 4: PREDICTION MODEL PIPELINE STARTING
2026-03-09 15:11:18 | INFO     | prediction           | ============================================================
2026-03-09 15:11:18 | INFO     | prediction           | Step 1/5: Loading data...
2026-03-09 15:11:18 | INFO     | prediction           | ✓ Loaded genome features: (2000, 25)
2026-03-09 15:11:18 | INFO     | prediction           | ✓ Loaded target values: (2000, 3)
2026-03-09 15:11:18 | INFO     | prediction           | ✓ Target columns: ['yield', 'quality', 'energy_consumption']
2026-03-09 15:11:18 | DEBUG    | prediction           |   Yield range: [0.516, 1.000]
2026-03-09 15:11:18 | DEBUG    | prediction           |   Quality range: [0.300, 0.932]
2026-03-09 15:11:18 | DEBUG    | prediction           |   Energy range: [171.8, 500.0]
2026-03-09 15:11:18 | INFO     | prediction           | Step 2/5: Splitting train/test sets...
2026-03-09 15:11:18 | INFO     | prediction           | ✓ Data split complete:
2026-03-09 15:11:18 | INFO     | prediction           |   Training set: 1600 samples (80%)
2026-03-09 15:11:18 | INFO     | prediction           |   Test set:     400 samples (20%)
2026-03-09 15:11:18 | INFO     | prediction           | Step 3/5: Creating and training model...
2026-03-09 15:11:18 | INFO     | prediction           | ✓ Created XGBoost multi-target predictor
2026-03-09 15:11:18 | INFO     | prediction           |   n_estimators: 200
2026-03-09 15:11:18 | INFO     | prediction           |   max_depth: 6
2026-03-09 15:11:18 | INFO     | prediction           | Training model...
2026-03-09 15:11:21 | INFO     | prediction           | ✓ Model training complete
2026-03-09 15:11:21 | INFO     | prediction           | Step 4/5: Evaluating model...
2026-03-09 15:11:21 | INFO     | prediction           | Evaluating model on test set...
2026-03-09 15:11:21 | INFO     | prediction           | ✓ yield:
2026-03-09 15:11:21 | INFO     | prediction           |     MAE:  0.0249
2026-03-09 15:11:21 | INFO     | prediction           |     RMSE: 0.0314
2026-03-09 15:11:21 | INFO     | prediction           |     R²:   0.9100
2026-03-09 15:11:21 | INFO     | prediction           |     MAPE: 3.11%
2026-03-09 15:11:21 | INFO     | prediction           | ✓ quality:
2026-03-09 15:11:21 | INFO     | prediction           |     MAE:  0.0331
2026-03-09 15:11:21 | INFO     | prediction           |     RMSE: 0.0435
